"Type","fullName","lastModifiedById","lastModifiedByName","lastModifiedDate","createdDate","namespacePrefix","manageableState"
"CustomLabel","CIAM_ResetPwd_ExpiredLinkErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T07:43:32.000Z","2018-09-14T07:43:32.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ResetPwd_NewPwdErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:05:10.000Z","2018-09-14T08:05:10.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_Description2","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:57:42.000Z","2018-09-14T08:55:41.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_Description1","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:54:43.000Z","2018-09-14T08:54:43.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ResetPwd_PwdMisMatchErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:10:54.000Z","2018-09-14T08:10:54.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_ButtonTxt","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:58:07.000Z","2018-09-14T08:58:07.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ForgotPwd_ErrorMsg1","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T07:39:46.000Z","2018-09-14T07:39:46.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_Description3","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:56:52.000Z","2018-09-14T08:56:52.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ForgotPwd_ErrorMsg2","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:22:12.000Z","2018-09-14T08:22:12.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ResetPwd_PwdReqErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:09:36.000Z","2018-09-14T08:09:36.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_Header","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:51:20.000Z","2018-09-14T08:51:20.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ResetPwd_OldPwdErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:06:32.000Z","2018-09-14T08:06:32.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ChangePwd_PwdChangeSuccessMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:20:01.000Z","2018-09-14T08:20:01.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_ResettPwd_ConfirmPwdErrMsg","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:18:08.000Z","2018-09-14T08:18:08.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
"CustomLabel","CIAM_PwdConfirmMailSent_SubHeader","0054E000003Y7EkQAK","Mayuri Pharale","2018-09-14T08:53:21.000Z","2018-09-14T08:53:21.000Z","undefined","unmanaged","0054E000003Y7EkQAK"
